tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
7260	Drosophila willistoni	6641177	0	live	LOC6641177	Dwil_GK19903, Dwil\per, GK19903, GK19903-PB, per, per-PB, period, wil_per	period circadian protein	period circadian protein|Dwil\GK19903|Dwil\GK19903-PB|Dwil\per-PB|dwil_GLEANR_2510		XL	NW_025814052.1	10702371	10706582	minus	8
7238	Drosophila sechellia	6616175	0	live	LOC6616175	Dsec_GM19238, Dsec\per, GM19238, GM19238-PA, per, per-PA, period	period circadian protein	period circadian protein|Dsec\GM19238|Dsec\GM19238-PA|Dsec\per-PA|dsec_GLEANR_20821		X	NC_045954.1	2565393	2572371	plus	10
7220	Drosophila erecta	6550757	0	live	LOC6550757	Dere_GG18618, Dere\per, GG18618, GG18618-PB, ere_per, per, per-PB, period	period circadian protein	period circadian protein|Dere\GG18618|Dere\GG18618-PB|Dere\per-PB|dere_GLEANR_3439|putative period		Un	NW_020825209.1	1080025	1086854	plus	10
7213	Ceratitis capitata	101453268	0	live	LOC101453268	TECPR, per, period	period circadian protein	period circadian protein|Tectonin beta-propeller repeat-containing protein		Un	NW_019376293.1	3120948	3144757	plus	14
98809	Bactrocera neohumeralis	126760024	0	live	LOC126760024	Per, period	period circadian protein	period circadian protein		5	NC_065922.1	19822210	19844476	minus	14
59916	Bactrocera tryoni	120775331	0	live	LOC120775331	Per, period	period circadian protein	period circadian protein		4	NC_052502.1	19658212	19680422	minus	14
7160	Aedes albopictus	109399730	0	live	LOC109399730	period	period circadian protein	period circadian protein		3	NC_085138.1	75429295	75454583	minus	6
64459	Pieris rapae	111000093	0	live	LOC111000093	PER, period	period circadian protein	period circadian protein		Z	NC_059534.1	3893234	3919748	plus	27
82600	Cydia pomonella	133516884	0	live	LOC133516884	period	period circadian protein	period circadian protein|putative period protein		1	NC_084703.1	16667724	16719003	minus	27
58824	Plodia interpunctella	128682921	0	live	LOC128682921	period	period circadian protein	period circadian protein|putative period protein		Un	NW_026525664.1	5219936	5256597	plus	26
7200	Lutzomyia longipalpis	129793170	0	live	LOC129793170	per, period	period circadian protein	period circadian protein|putative circadian clock protein period		1	NC_074707.1	16231559	16240841	minus	11
47314	Drosophila novamexicana	115767589	0	live	LOC115767589	period	period circadian protein	period circadian protein		Un	NW_020824856.1	556475	564959	plus	10
27457	Bactrocera dorsalis	105224342	0	live	LOC105224342	PER, period	period circadian protein	period circadian protein		4	NC_064306.1	57159844	57182219	plus	13
13686	Solenopsis invicta	105204533	0	live	LOC105204533	SINV_02147, period	period circadian protein	period circadian protein		3	NC_052666.1	29792800	29834524	minus	17
133901	Frankliniella occidentalis	113206270	0	live	LOC113206270	FOCC_FOCC011538, period	period circadian protein	period circadian protein		Un	NW_026267279.1	213063	220556	minus	24
