hit_from,hit_to,query_from,query_to,hit_gaps,query_gaps,align_from,align_to,align_len,identity,query_strand,hit_strand,bit_score,evalue,hit_seqid,hit_genome_id,query_genome_id,hit_taxonomy_id,query_taxonomy_id,gff_seqid,gff_source,gff_type,gff_start,gff_end,gff_score,gff_strand,gff_phase,gff_gene_id,gff_attribute:ID
9887975,9888189,249,463,0,0,9887726,9888189,214,181,+,+,213.485,5.34256e-54,NC_037647.1,GCF_003254395.2,GCF_000188095.3,7460,132113,NT_177094.1,BestRefSeq,exon,127810,128273,None,+,None,100607970,exon-NM_001280122.1-1
18435430,18435599,294,463,0,0,18435136,18435599,169,134,+,+,119.306,2.00651e-25,NC_052669.1,GCF_016802725.1,GCF_000188095.3,13686,132113,NT_177094.1,BestRefSeq,exon,127810,128273,None,+,None,100607970,exon-NM_001280122.1-1
18441211,18441375,0,164,0,0,18441211,18441378,164,143,+,+,187.632,1.75383e-46,NC_052669.1,GCF_016802725.1,GCF_000188095.3,13686,132113,NT_177094.1,BestRefSeq,exon,129459,129626,None,+,None,100607970,exon-NM_001280122.1-5
5321390,5321605,4,219,0,0,5321386,5321611,215,183,+,+,220.872,2.37652e-56,NC_039481.1,GCF_003590095.1,GCF_030269925.1,7111,7091,NC_085121.1,Gnomon,exon,9200183,9200408,None,-,None,100500922,exon-XM_012692268.4-6
5321390,5321605,4,219,0,0,5321386,5321611,215,183,+,+,220.872,2.37652e-56,NC_039481.1,GCF_003590095.1,GCF_030269925.1,7111,7091,NC_085121.1,Gnomon,exon,9200183,9200408,None,-,None,100500922,exon-XM_012692269.4-6
5321390,5321605,4,219,0,0,5321386,5321611,215,183,+,+,220.872,2.37652e-56,NC_039481.1,GCF_003590095.1,GCF_030269925.1,7111,7091,NC_085121.1,Gnomon,exon,9200183,9200408,None,-,None,100500922,exon-XM_062672289.1-7
5321390,5321605,4,219,0,0,5321386,5321611,215,183,+,+,220.872,2.37652e-56,NC_039481.1,GCF_003590095.1,GCF_030269925.1,7111,7091,NC_085121.1,BestRefSeq,exon,9200183,9200408,None,-,None,100500922,exon-NM_001195698.1-6
4042956,4043612,367,1022,14,15,4042589,4044320,670,492,+,-,224.565,1.97039e-56,NC_085128.1,GCF_030269925.1,GCF_003268045.1,7091,143950,NW_020273623.1,Gnomon,exon,1650383,1652114,None,-,None,112693155,exon-XM_025568092.1-2
52013664,52014555,0,891,0,0,52013664,52014561,891,735,+,+,782.253,0,NC_064601.1,GCF_943734735.2,GCF_015732765.1,7165,7176,NC_051863.1,Gnomon,exon,18343902,18344799,None,+,None,6053355,exon-XM_038262377.1-6
52013664,52014555,0,891,0,0,52013664,52014561,891,735,+,+,782.253,0,NC_064601.1,GCF_943734735.2,GCF_015732765.1,7165,7176,NC_051863.1,Gnomon,exon,18343902,18344799,None,+,None,6053355,exon-XM_038262376.1-6
