tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
7160	Aedes albopictus	109399730	0	live	LOC109399730	period	period circadian protein	period circadian protein		3	NC_085138.1	75429295	75454583	minus	6
13686	Solenopsis invicta	105204533	0	live	LOC105204533	SINV_02147, period	period circadian protein	period circadian protein		3	NC_052666.1	29792800	29834524	minus	17
133901	Frankliniella occidentalis	113206270	0	live	LOC113206270	FOCC_FOCC011538, period	period circadian protein	period circadian protein		Un	NW_026267279.1	213063	220556	minus	24
343691	Hermetia illucens	119653723	0	live	LOC119653723	HERILL_LOCUS914, PER, period	period circadian protein	period circadian protein		1	NC_051849.1	46611987	46680358	plus	14
93504	Ostrinia furnacalis	114365005	0	live	LOC114365005	period	period circadian protein	period circadian protein		Un	NW_021137771.1	683597	768500	minus	28
7137	Galleria mellonella	113516630	0	live	LOC113516630	period	period circadian protein	period circadian protein		Un	NW_026442079.1	7067857	7112994	minus	29
69820	Spodoptera litura	111360701	0	live	LOC111360701	period	period circadian protein	period circadian protein		Z	NC_036217.1	13175791	13208824	minus	32
7461	Apis cerana	107998360	0	live	LOC107998360	Period, per	period circadian protein	period circadian protein|Period alpha|Period alpha'|Period beta|Period beta'|Period delta|Period gamma		LG12	NC_083863.1	9800567	9822762	minus	17
7176	Culex quinquefasciatus	6039750	0	live	LOC6039750	period	period circadian protein	period circadian protein		3	NC_051863.1	36554796	36576049	plus	7
110368	Bicyclus anynana	112050002	0	live	LOC112050002	period	period circadian protein	period circadian protein		Z	NC_069110.1	7822005	7873710	plus	28
29058	Helicoverpa armigera	110374515	0	live	LOC110374515	B5X24_HaOG215851, HaOG215851, period	period circadian protein	period circadian protein		1	NC_087120.1	7018187	7056816	minus	29
13191	Pectinophora gossypiella	126380503	0	live	LOC126380503	period	period circadian protein	period circadian protein		Z	NC_065433.1	8601757	8652416	plus	28
7113	Helicoverpa zea	124644749	0	live	LOC124644749	period	period circadian protein-like	period circadian protein-like		31	NC_061482.1	10885265	10917373	plus	29
82600	Cydia pomonella	133516884	0	live	LOC133516884	period	period circadian protein	period circadian protein|putative period protein		1	NC_084703.1	16667724	16719003	minus	27
